id,ing_name,prot.ing.g.,fat.ing.g.,total_cab.ing.g.,modified_cal.ing.kcal.
1351,脆桃,1.2,0.1,12.8,48.229
1352,甜桃,1.2,0.1,12.8,48.229
1353,福壽桃,0.888,0.1682,11.9003,42.3456
1354,桃子,0.888,0.1682,11.9003,42.3456
1355,脆桃,0.888,0.1682,11.9003,42.3456
1356,甜桃,0.888,0.1682,11.9003,42.3456
1357,鶯哥桃,0.9545,0.1772,10.4516,38.0279
1358,桃子,0.9545,0.1772,10.4516,38.0279
1359,脆桃,0.9545,0.1772,10.4516,38.0279
1360,甜桃,0.9545,0.1772,10.4516,38.0279
1361,蟠桃,0.854,0.2189,11.2681,42.5778
1362,餅桃,0.854,0.2189,11.2681,42.5778
1363,胭脂梅,0.514,0.1458,8.8015,31.4681
1364,梅子,0.514,0.1458,8.8015,31.4681
1365,紅李,0.514,0.1458,8.8015,31.4681
1366,西洋梨平均值,0.2543,0.1587,14.0568,49.3989
1367,梨子,0.2543,0.1587,14.0568,49.3989
1368,水梨,0.2543,0.1587,14.0568,49.3989
1369,山褵,0.2543,0.1587,14.0568,49.3989
1370,快果,0.2543,0.1587,14.0568,49.3989
1371,果宗,0.2543,0.1587,14.0568,49.3989
1372,西洋梨(青皮),0.2755,0.1915,16.4842,57.6565
1373,梨子,0.2755,0.1915,16.4842,57.6565
1374,水梨,0.2755,0.1915,16.4842,57.6565
1375,山褵,0.2755,0.1915,16.4842,57.6565
1376,快果,0.2755,0.1915,16.4842,57.6565
1377,果宗,0.2755,0.1915,16.4842,57.6565
1378,西洋梨(紅皮),0.2815,0.2106,13.9237,49.9017
1379,梨子,0.2815,0.2106,13.9237,49.9017
1380,水梨,0.2815,0.2106,13.9237,49.9017
1381,山褵,0.2815,0.2106,13.9237,49.9017
1382,快果,0.2815,0.2106,13.9237,49.9017
1383,果宗,0.2815,0.2106,13.9237,49.9017
1384,西洋梨(黃皮),0.206,0.074,11.7624,40.6386
1385,梨子,0.206,0.074,11.7624,40.6386
1386,水梨,0.206,0.074,11.7624,40.6386
1387,山褵,0.206,0.074,11.7624,40.6386
1388,快果,0.206,0.074,11.7624,40.6386
1389,果宗,0.206,0.074,11.7624,40.6386
1390,幸水梨,0.403,0.039,9.014,32.2712
1391,梨子,0.403,0.039,9.014,32.2712
1392,水梨,0.403,0.039,9.014,32.2712
1393,山褵,0.403,0.039,9.014,32.2712
1394,快果,0.403,0.039,9.014,32.2712
1395,果宗,0.403,0.039,9.014,32.2712
1396,大雪梨,0.3367,0.1109,11.0903,40.1456
1397,梨子,0.3367,0.1109,11.0903,40.1456
1398,水梨,0.3367,0.1109,11.0903,40.1456
1399,山褵,0.3367,0.1109,11.0903,40.1456
1400,快果,0.3367,0.1109,11.0903,40.1456
1401,果宗,0.3367,0.1109,11.0903,40.1456
1402,新世紀梨,0.368,0.2115,10.719,38.7327
1403,梨子,0.368,0.2115,10.719,38.7327
1404,水梨,0.368,0.2115,10.719,38.7327
1405,山褵,0.368,0.2115,10.719,38.7327
1406,快果,0.368,0.2115,10.719,38.7327
1407,果宗,0.368,0.2115,10.719,38.7327
1408,新興梨,0.24,0.057,11.8832,41.8165
1409,梨子,0.24,0.057,11.8832,41.8165
1410,水梨,0.24,0.057,11.8832,41.8165
1411,山褵,0.24,0.057,11.8832,41.8165
1412,快果,0.24,0.057,11.8832,41.8165
1413,果宗,0.24,0.057,11.8832,41.8165
1414,橫山梨,0.4055,0.0825,12.3734,43.6092
1415,梨子,0.4055,0.0825,12.3734,43.6092
1416,水梨,0.4055,0.0825,12.3734,43.6092
1417,山褵,0.4055,0.0825,12.3734,43.6092
1418,快果,0.4055,0.0825,12.3734,43.6092
1419,果宗(三灣冬梨,0.4055,0.0825,12.3734,43.6092
1420,粗梨),0.4055,0.0825,12.3734,43.6092
1421,豐水梨,0.5257,0.0673,9.3887,34.585
1422,梨子,0.5257,0.0673,9.3887,34.585
1423,水梨,0.5257,0.0673,9.3887,34.585
1424,山褵,0.5257,0.0673,9.3887,34.585
1425,快果,0.5257,0.0673,9.3887,34.585
1426,果宗,0.5257,0.0673,9.3887,34.585
1427,將軍蜜梨,0.366,0.081,13.3133,48.3491
1428,梨子,0.366,0.081,13.3133,48.3491
1429,水梨,0.366,0.081,13.3133,48.3491
1430,山褵,0.366,0.081,13.3133,48.3491
1431,快果,0.366,0.081,13.3133,48.3491
1432,果宗(三星上將梨),0.366,0.081,13.3133,48.3491
1433,梨山蜜梨,0.289,0.091,12.6475,44.7117
1434,梨子,0.289,0.091,12.6475,44.7117
1435,水梨,0.289,0.091,12.6475,44.7117
1436,山褵,0.289,0.091,12.6475,44.7117
1437,快果,0.289,0.091,12.6475,44.7117
1438,果宗,0.289,0.091,12.6475,44.7117
1439,印度棗平均值(大),1.0548,0.1465,10.6935,40.6272
1440,棗子,1.0548,0.1465,10.6935,40.6272
1441,棗仔,1.0548,0.1465,10.6935,40.6272
1442,印度棗(長形),1.1605,0.17,10.4163,40.1389
1443,棗子,1.1605,0.17,10.4163,40.1389
1444,棗仔,1.1605,0.17,10.4163,40.1389
1445,蜜棗(圓形),0.949,0.1229,10.9707,41.1155
1446,棗子,0.949,0.1229,10.9707,41.1155
1447,棗仔(蜜絲棗),0.949,0.1229,10.9707,41.1155
1448,珍珠蜜棗,1.112,0.025,11.6686,42.3653
1449,棗子,1.112,0.025,11.6686,42.3653
1450,棗仔,1.112,0.025,11.6686,42.3653
1451,台灣土棗,0.908,0.261,22.9687,81.6383
1452,大棗,0.908,0.261,22.9687,81.6383
1453,棗仔,0.908,0.261,22.9687,81.6383
1454,紅棗,3.173,0.3,59.5078,215.1596
1455,大棗,3.173,0.3,59.5078,215.1596
1456,棗仔,3.173,0.3,59.5078,215.1596
1457,黑棗,2.71,0.19,60.9404,212.7789
1458,大棗,2.71,0.19,60.9404,212.7789
1459,棗仔,2.71,0.19,60.9404,212.7789
1460,蘋果平均值(青皮),0.3216,0.1665,12.9663,46.6763
1461,柰,0.3216,0.1665,12.9663,46.6763
1462,林檎,0.3216,0.1665,12.9663,46.6763
1463,沙果,0.3216,0.1665,12.9663,46.6763
1464,海棠,0.3216,0.1665,12.9663,46.6763
1465,花紅,0.3216,0.1665,12.9663,46.6763
1466,檳子,0.3216,0.1665,12.9663,46.6763
1467,蘋果,0.3216,0.1665,12.9663,46.6763
1468,青龍蘋果,0.3125,0.1847,13.7778,50.0397
1469,柰,0.3125,0.1847,13.7778,50.0397
1470,林檎,0.3125,0.1847,13.7778,50.0397
1471,沙果,0.3125,0.1847,13.7778,50.0397
1472,海棠,0.3125,0.1847,13.7778,50.0397
1473,花紅,0.3125,0.1847,13.7778,50.0397
1474,檳子,0.3125,0.1847,13.7778,50.0397
1475,翠玉青蘋果,0.3307,0.1482,12.1548,43.3129
1476,柰,0.3307,0.1482,12.1548,43.3129
1477,林檎,0.3307,0.1482,12.1548,43.3129
1478,沙果,0.3307,0.1482,12.1548,43.3129
1479,海棠,0.3307,0.1482,12.1548,43.3129
1480,花紅,0.3307,0.1482,12.1548,43.3129
1481,檳子(翡翠,0.3307,0.1482,12.1548,43.3129
1482,青玉,0.3307,0.1482,12.1548,43.3129
1483,史蜜斯),0.3307,0.1482,12.1548,43.3129
1484,翠玉青蘋果(帶皮),0.371,0.2285,14.053,50.0197
1485,柰,0.371,0.2285,14.053,50.0197
1486,林檎,0.371,0.2285,14.053,50.0197
1487,沙果,0.371,0.2285,14.053,50.0197
1488,海棠,0.371,0.2285,14.053,50.0197
1489,花紅,0.371,0.2285,14.053,50.0197
1490,檳子(翡翠,0.371,0.2285,14.053,50.0197
1491,青玉,0.371,0.2285,14.053,50.0197
1492,史蜜斯),0.371,0.2285,14.053,50.0197
1493,美國五爪蘋果,0.1545,0.068,13.7783,48.0962
1494,柰,0.1545,0.068,13.7783,48.0962
1495,林檎,0.1545,0.068,13.7783,48.0962
1496,沙果,0.1545,0.068,13.7783,48.0962
1497,海棠,0.1545,0.068,13.7783,48.0962
1498,花紅,0.1545,0.068,13.7783,48.0962
1499,檳子(元帥),0.1545,0.068,13.7783,48.0962
1500,蘋果平均值(混色),0.2123,0.095,13.8587,49.2574
1501,柰,0.2123,0.095,13.8587,49.2574
1502,林檎,0.2123,0.095,13.8587,49.2574
1503,沙果,0.2123,0.095,13.8587,49.2574
1504,海棠,0.2123,0.095,13.8587,49.2574
1505,花紅,0.2123,0.095,13.8587,49.2574
1506,檳子,0.2123,0.095,13.8587,49.2574
1507,加拉蘋果,0.193,0.063,14.9611,52.6628
1508,柰,0.193,0.063,14.9611,52.6628
1509,林檎,0.193,0.063,14.9611,52.6628
1510,沙果,0.193,0.063,14.9611,52.6628
1511,海棠,0.193,0.063,14.9611,52.6628
1512,花紅,0.193,0.063,14.9611,52.6628
1513,檳子,0.193,0.063,14.9611,52.6628
1514,津經蜜蘋果,0.198,0.1679,15.076,54.1528
1515,柰,0.198,0.1679,15.076,54.1528
1516,林檎,0.198,0.1679,15.076,54.1528
1517,沙果,0.198,0.1679,15.076,54.1528
1518,海棠,0.198,0.1679,15.076,54.1528
1519,花紅,0.198,0.1679,15.076,54.1528
1520,檳子,0.198,0.1679,15.076,54.1528
1521,秋香蘋果,0.265,0.0217,12.296,43.389
1522,柰,0.265,0.0217,12.296,43.389
1523,林檎,0.265,0.0217,12.296,43.389
1524,沙果,0.265,0.0217,12.296,43.389
1525,海棠,0.265,0.0217,12.296,43.389
1526,花紅,0.265,0.0217,12.296,43.389
1527,檳子,0.265,0.0217,12.296,43.389
1528,富士蘋果,0.193,0.1273,13.1017,46.8251
1529,柰,0.193,0.1273,13.1017,46.8251
1530,林檎,0.193,0.1273,13.1017,46.8251
1531,沙果,0.193,0.1273,13.1017,46.8251
1532,海棠,0.193,0.1273,13.1017,46.8251
1533,花紅,0.193,0.1273,13.1017,46.8251
1534,檳子,0.193,0.1273,13.1017,46.8251
1535,富士蘋果(帶皮),0.226,0.1469,11.922,42.1929
1536,柰,0.226,0.1469,11.922,42.1929
1537,林檎,0.226,0.1469,11.922,42.1929
1538,沙果,0.226,0.1469,11.922,42.1929
1539,海棠,0.226,0.1469,11.922,42.1929
1540,花紅,0.226,0.1469,11.922,42.1929
1541,檳子,0.226,0.1469,11.922,42.1929
1542,金冠蘋果,0.36,0.1025,12.9688,46.4142
1543,柰,0.36,0.1025,12.9688,46.4142
1544,林檎,0.36,0.1025,12.9688,46.4142
1545,沙果,0.36,0.1025,12.9688,46.4142
1546,海棠,0.36,0.1025,12.9688,46.4142
1547,花紅,0.36,0.1025,12.9688,46.4142
1548,檳子(黃元帥),0.36,0.1025,12.9688,46.4142
1549,櫻桃,1.2155,0.2603,19.0748,72.7777
1550,中國櫻桃又稱鶯桃,1.2155,0.2603,19.0748,72.7777
1551,荊桃,1.2155,0.2603,19.0748,72.7777
1552,白櫻桃,0.702,0.0975,18.3941,67.6822
1553,中國櫻桃又稱鶯桃,0.702,0.0975,18.3941,67.6822
1554,荊桃,0.702,0.0975,18.3941,67.6822
1555,椪柑,0.804,0.1548,10.0426,37.7962
1556,橘子,0.804,0.1548,10.0426,37.7962
1557,蘆柑,0.804,0.1548,10.0426,37.7962
1558,壼柑,0.804,0.1548,10.0426,37.7962
1559,凸柑,0.804,0.1548,10.0426,37.7962
1560,乳柑,0.804,0.1548,10.0426,37.7962
1561,潮州柑,0.804,0.1548,10.0426,37.7962
1562,紅柑,0.845,0.1119,10.5623,40.2484
1563,美人(女)柑,0.845,0.1119,10.5623,40.2484
1564,明尼吉柚,0.845,0.1119,10.5623,40.2484
1565,葡萄蜜柑,0.845,0.1119,10.5623,40.2484
1566,迷你葡萄柚,0.845,0.1119,10.5623,40.2484
1567,茂谷柑,0.595,0.1223,11.4914,42.2649
1568,柑,0.595,0.1223,11.4914,42.2649
1569,海梨桶柑,0.8645,0.15,11.0184,40.6287
1570,年柑,0.8645,0.15,11.0184,40.6287
1571,草山柑,0.8645,0.15,11.0184,40.6287
1572,焦柑,0.8645,0.15,11.0184,40.6287
1573,蜜桶,0.8645,0.15,11.0184,40.6287
1574,漳柑,0.8645,0.15,11.0184,40.6287
1575,草山桔(海梨),0.8645,0.15,11.0184,40.6287
1576,高牆桶柑,0.771,0,11.8211,42.8348
1577,年柑,0.771,0,11.8211,42.8348
1578,草山柑,0.771,0,11.8211,42.8348
1579,焦柑,0.771,0,11.8211,42.8348
1580,蜜桶,0.771,0,11.8211,42.8348
1581,漳柑,0.771,0,11.8211,42.8348
1582,草山桔(桶柑),0.771,0,11.8211,42.8348
1583,檸檬柑,1.108,0.0809,12.1847,45.187
1584,三寶柑,1.108,0.0809,12.1847,45.187
1585,甜檸檬,1.108,0.0809,12.1847,45.187
1586,長果金柑,0.96,0.1947,14.0803,50.3448
1587,金棗,0.96,0.1947,14.0803,50.3448
1588,羅浮柑,0.96,0.1947,14.0803,50.3448
1589,圓果金柑,0.7,0.24,7.56,28.0568
1590,金桔,0.7,0.24,7.56,28.0568
1591,金橘,0.7,0.24,7.56,28.0568
1592,桔子,0.7,0.24,7.56,28.0568
1593,圓果金柑汁(綠皮),0.891,0.145,7.9107,30.4971
1594,金桔,0.891,0.145,7.9107,30.4971
1595,金橘,0.891,0.145,7.9107,30.4971
1596,桔子,0.891,0.145,7.9107,30.4971
1597,文旦,0.69,0.1003,8.4228,31.4163
1598,柚子,0.69,0.1003,8.4228,31.4163
1599,內紫,0.69,0.1003,8.4228,31.4163
1600,朱欒,0.69,0.1003,8.4228,31.4163
1601,香欒,0.69,0.1003,8.4228,31.4163
1602,座凡,0.69,0.1003,8.4228,31.4163
1603,拋,0.69,0.1003,8.4228,31.4163
1604,欒,0.69,0.1003,8.4228,31.4163
1605,白柚,0.5755,0.152,9.5692,35.7581
1606,柚子,0.5755,0.152,9.5692,35.7581
1607,內紫,0.5755,0.152,9.5692,35.7581
1608,朱欒,0.5755,0.152,9.5692,35.7581
1609,香欒,0.5755,0.152,9.5692,35.7581
1610,座凡,0.5755,0.152,9.5692,35.7581
1611,拋,0.5755,0.152,9.5692,35.7581
1612,欒,0.5755,0.152,9.5692,35.7581
1613,西施蜜柚,0.803,0.154,10.0916,38.2951
1614,柚子,0.803,0.154,10.0916,38.2951
1615,內紫,0.803,0.154,10.0916,38.2951
1616,朱欒,0.803,0.154,10.0916,38.2951
1617,香欒,0.803,0.154,10.0916,38.2951
1618,座凡,0.803,0.154,10.0916,38.2951
1619,拋,0.803,0.154,10.0916,38.2951
1620,欒(西施柚),0.803,0.154,10.0916,38.2951
1621,甜橙平均值(普遍系),0.7908,0.2465,11.3509,42.4361
1622,甜橙,0.7908,0.2465,11.3509,42.4361
1623,柳橙,0.7908,0.2465,11.3509,42.4361
1624,柳丁,0.7908,0.2465,11.3509,42.4361
1625,印子柑,0.7908,0.2465,11.3509,42.4361
1626,廣柑,0.7908,0.2465,11.3509,42.4361
1627,柳橙,0.799,0.122,11.0454,40.1884
1628,甜橙,0.799,0.122,11.0454,40.1884
1629,柳橙,0.799,0.122,11.0454,40.1884
1630,柳丁,0.799,0.122,11.0454,40.1884
1631,印子柑,0.799,0.122,11.0454,40.1884
1632,廣柑,0.799,0.122,11.0454,40.1884
1633,香吉士(進口),0.6845,0.48,11.3663,43.7703
1634,甜橙,0.6845,0.48,11.3663,43.7703
1635,柳橙,0.6845,0.48,11.3663,43.7703
1636,柳丁,0.6845,0.48,11.3663,43.7703
1637,印子柑,0.6845,0.48,11.3663,43.7703
1638,廣柑,0.6845,0.48,11.3663,43.7703
1639,澳洲甜橙(進口),0.889,0.1376,11.6411,43.3496
1640,甜橙,0.889,0.1376,11.6411,43.3496
1641,柳橙,0.889,0.1376,11.6411,43.3496
1642,柳丁,0.889,0.1376,11.6411,43.3496
1643,印子柑,0.889,0.1376,11.6411,43.3496
1644,廣柑,0.889,0.1376,11.6411,43.3496
1645,青皮葡萄柚,0.751,0.0851,8.2991,31.2212
1646,西柚,0.751,0.0851,8.2991,31.2212
1647,朱欒,0.751,0.0851,8.2991,31.2212
1648,紅寶石葡萄柚(古坑),0.702,0.2838,8.9274,35.1241
1649,西柚,0.702,0.2838,8.9274,35.1241
1650,朱欒,0.702,0.2838,8.9274,35.1241
1651,黃皮葡萄柚(進口),0.717,0.078,9.6569,36.094
1652,西柚,0.717,0.078,9.6569,36.094
1653,朱欒,0.717,0.078,9.6569,36.094
1654,黃皮葡萄柚,0.668,0.244,9.1732,35.5012
1655,西柚,0.668,0.244,9.1732,35.5012
1656,朱欒,0.668,0.244,9.1732,35.5012
1657,檸檬,0.708,0.5335,7.35,31.3348
1658,萊姆,0.521,0.9926,7.6738,34.7008
1659,無子檸檬,0.521,0.9926,7.6738,34.7008
1660,萊姆汁,0.3125,0.4963,8.0535,33.716
1661,無子檸檬,0.3125,0.4963,8.0535,33.716
1662,檸檬汁平均值,0.45,0.4495,7.0459,30.3519
1663,檸檬汁(黃皮),0.478,0.2978,7.1598,29.7839
1664,檸檬汁(綠皮),0.422,0.6012,6.9319,30.92
1665,紅甘蔗汁,0.5325,0.5414,15.8574,63.0994
1666,甘蔗,0.5325,0.5414,15.8574,63.0994
1667,人心果,0.6,0.8,20.5,68.112
1668,吳鳳柿,0.6,0.8,20.5,68.112
1669,沙漠吉拉,0.6,0.8,20.5,68.112
1670,查某囝仔,0.6,0.8,20.5,68.112
1671,人蔘果,0.6,0.8,20.5,68.112
1672,可可椰子汁平均值,0.124,0.0215,4.8808,18.1647
1673,椰子汁,0.124,0.0215,4.8808,18.1647
1674,越王頭汁,0.124,0.0215,4.8808,18.1647
1675,可可椰子汁(屏東),0.068,0.0186,4.7477,17.4708
1676,椰子汁,0.068,0.0186,4.7477,17.4708
1677,越王頭汁,0.068,0.0186,4.7477,17.4708
1678,可可椰子汁(進口),0.18,0.0244,5.0138,18.8587
1679,椰子汁,0.18,0.0244,5.0138,18.8587
1680,越王頭汁,0.18,0.0244,5.0138,18.8587
1681,香瓜茄,0.44,0.0657,6.2197,23.3538
1682,香瓜梨,0.44,0.0657,6.2197,23.3538
1683,南美香瓜梨,0.44,0.0657,6.2197,23.3538
1684,蛋黃果,1.405,0.3206,27.2831,95.8583
1685,仙桃,1.405,0.3206,27.2831,95.8583
1686,牛蒡,2.5407,0.3733,19.1474,74.7858
1687,吳帽,2.5407,0.3733,19.1474,74.7858
1688,吳某,2.5407,0.3733,19.1474,74.7858
1689,牛菜,2.5407,0.3733,19.1474,74.7858
1690,蒡翁菜,2.5407,0.3733,19.1474,74.7858
1691,鼠黏,2.5407,0.3733,19.1474,74.7858
1692,胡蘿蔔平均值,1.1223,0.1263,8.8588,33.5227
1693,紅蘿蔔,1.1223,0.1263,8.8588,33.5227
1694,紅菜頭,1.1223,0.1263,8.8588,33.5227
1695,黃蘿蔔,1.1223,0.1263,8.8588,33.5227
1696,丁香蘿蔔,1.1223,0.1263,8.8588,33.5227
1697,人參,1.1223,0.1263,8.8588,33.5227
1698,金筍,1.1223,0.1263,8.8588,33.5227
1699,胡蘿蔔,1.005,0.1761,8.4915,32.0455
1700,紅蘿蔔,1.005,0.1761,8.4915,32.0455
1701,紅菜頭,1.005,0.1761,8.4915,32.0455
1702,黃蘿蔔,1.005,0.1761,8.4915,32.0455
1703,丁香蘿蔔,1.005,0.1761,8.4915,32.0455
1704,人參,1.005,0.1761,8.4915,32.0455
1705,金筍,1.005,0.1761,8.4915,32.0455
1706,向陽二號胡蘿蔔,0.627,0.1448,10.6262,39.458
1707,紅蘿蔔,0.627,0.1448,10.6262,39.458
1708,紅菜頭,0.627,0.1448,10.6262,39.458
1709,黃蘿蔔,0.627,0.1448,10.6262,39.458
1710,丁香蘿蔔,0.627,0.1448,10.6262,39.458
1711,人參,0.627,0.1448,10.6262,39.458
1712,金筍,0.627,0.1448,10.6262,39.458
1713,澳洲胡蘿蔔(細長型),1.735,0.058,7.4587,29.0646
1714,紅蘿蔔,1.735,0.058,7.4587,29.0646
1715,紅菜頭,1.735,0.058,7.4587,29.0646
1716,黃蘿蔔,1.735,0.058,7.4587,29.0646
1717,丁香蘿蔔,1.735,0.058,7.4587,29.0646
1718,人參,1.735,0.058,7.4587,29.0646
1719,金筍,1.735,0.058,7.4587,29.0646
1720,黃胡蘿蔔,1.073,0.2553,9.4497,33.9502
1721,紅蘿蔔,1.073,0.2553,9.4497,33.9502
1722,紅菜頭,1.073,0.2553,9.4497,33.9502
1723,黃蘿蔔,1.073,0.2553,9.4497,33.9502
1724,丁香蘿蔔,1.073,0.2553,9.4497,33.9502
1725,人參,1.073,0.2553,9.4497,33.9502
1726,金筍,1.073,0.2553,9.4497,33.9502
1727,冷凍胡蘿蔔,0.47,0.06,2.98,9.2516
1728,紅蘿蔔,0.47,0.06,2.98,9.2516
1729,紅菜頭,0.47,0.06,2.98,9.2516
1730,黃蘿蔔,0.47,0.06,2.98,9.2516
1731,丁香蘿蔔,0.47,0.06,2.98,9.2516
1732,人參,0.47,0.06,2.98,9.2516
1733,金筍,0.47,0.06,2.98,9.2516
1734,根菾菜根,1.324,0.0838,7.7686,30.189
1735,甜菜根,1.324,0.0838,7.7686,30.189
1736,火焰菜根,1.324,0.0838,7.7686,30.189
1737,白蘿蔔平均值,0.5485,0.1277,3.8652,15.5099
1738,蘿蔔,0.5485,0.1277,3.8652,15.5099
1739,菜頭,0.5485,0.1277,3.8652,15.5099
1740,萊菔,0.5485,0.1277,3.8652,15.5099
1741,蘆萉,0.5485,0.1277,3.8652,15.5099
1742,仙人骨,0.5485,0.1277,3.8652,15.5099
1743,大菜,0.5485,0.1277,3.8652,15.5099
1744,大根,0.5485,0.1277,3.8652,15.5099
1745,白蘿蔔,0.695,0.146,3.3226,13.9358
1746,蘿蔔,0.695,0.146,3.3226,13.9358
1747,菜頭,0.695,0.146,3.3226,13.9358
1748,萊菔,0.695,0.146,3.3226,13.9358
1749,蘆萉,0.695,0.146,3.3226,13.9358
1750,仙人骨,0.695,0.146,3.3226,13.9358
1751,大菜,0.695,0.146,3.3226,13.9358
1752,大根,0.695,0.146,3.3226,13.9358
1753,白蘿蔔(長形),0.402,0.1093,4.4078,17.0841
1754,蘿蔔,0.402,0.1093,4.4078,17.0841
1755,菜頭,0.402,0.1093,4.4078,17.0841
1756,萊菔,0.402,0.1093,4.4078,17.0841
1757,蘆萉,0.402,0.1093,4.4078,17.0841
1758,仙人骨,0.402,0.1093,4.4078,17.0841
1759,大菜,0.402,0.1093,4.4078,17.0841
1760,大根,0.402,0.1093,4.4078,17.0841
1761,櫻桃蘿蔔,0.595,0,2.3446,8.8194
1762,蘿蔔,0.595,0,2.3446,8.8194
1763,菜頭,0.595,0,2.3446,8.8194
1764,萊菔,0.595,0,2.3446,8.8194
1765,小根蘿蔔,0.595,0,2.3446,8.8194
1766,二十日蘿蔔,0.595,0,2.3446,8.8194
1767,小粒菜頭,0.595,0,2.3446,8.8194
1768,青蘿蔔,1.809,0.0868,6.9728,29.6164
1769,蘿蔔,1.809,0.0868,6.9728,29.6164
1770,菜頭,1.809,0.0868,6.9728,29.6164
1771,萊菔,1.809,0.0868,6.9728,29.6164
1772,綠蘿蔔,1.809,0.0868,6.9728,29.6164
1773,綠長蘿蔔,1.809,0.0868,6.9728,29.6164
1774,青菜頭,1.809,0.0868,6.9728,29.6164
1775,青大根,1.809,0.0868,6.9728,29.6164
1776,蘿蔔乾,2.2,1.19,10.81,44.1843
1777,百合鱗片,3.793,0.0627,32.347,131.5409
1778,百合,3.793,0.0627,32.347,131.5409
1779,百合花鱗片,3.793,0.0627,32.347,131.5409
1780,蒜腦藷,3.793,0.0627,32.347,131.5409
1781,乾百合鱗片,11.838,0.7399,68.3864,254.5949
1782,乾百合,11.838,0.7399,68.3864,254.5949
1783,乾百合花鱗片,11.838,0.7399,68.3864,254.5949
1784,乾蒜腦藷,11.838,0.7399,68.3864,254.5949
1785,芋莖,1.1,0.46,3.35,16.9472
1786,芋拐,1.1,0.46,3.35,16.9472
1787,芋橫,1.1,0.46,3.35,16.9472
1788,芋葉梗,1.1,0.46,3.35,16.9472
1789,金針菜嫩莖,0.7207,0.1523,5.3419,20.0638
1790,碧玉筍,0.7207,0.1523,5.3419,20.0638
1791,金針筍,0.7207,0.1523,5.3419,20.0638
1792,金針菜梗,0.7207,0.1523,5.3419,20.0638
1793,軟化金針菜,0.7207,0.1523,5.3419,20.0638
1794,金針嫩菜芽,0.7207,0.1523,5.3419,20.0638
1795,萱草菜嫩芽,0.7207,0.1523,5.3419,20.0638
1796,草石蠶,1.725,0,18.0406,70.3053
1797,甘露兒,1.725,0,18.0406,70.3053
1798,甘露菜,1.725,0,18.0406,70.3053
1799,寶塔菜,1.725,0,18.0406,70.3053
1800,地蠶,1.725,0,18.0406,70.3053
1801,螺獅菜,1.725,0,18.0406,70.3053
1802,土蛹(坊間誤稱為冬蟲夏草),1.725,0,18.0406,70.3053
1803,球莖甘藍,1.5563,0.2257,3.5837,18.268
1804,大頭菜,1.5563,0.2257,3.5837,18.268
1805,結頭菜,1.5563,0.2257,3.5837,18.268
1806,芥頭,1.5563,0.2257,3.5837,18.268
1807,菜菜鵠,1.5563,0.2257,3.5837,18.268
1808,菜叩,1.5563,0.2257,3.5837,18.268
1809,莖藍,1.5563,0.2257,3.5837,18.268
1810,蕪菁蕓苔,1.5563,0.2257,3.5837,18.268
1811,孟宗竹筍,3.958,0.15,7.3006,36.0404
1812,毛竹,3.958,0.15,7.3006,36.0404
1813,茅竹,3.958,0.15,7.3006,36.0404
1814,茅茹竹,3.958,0.15,7.3006,36.0404
1815,江南竹,3.958,0.15,7.3006,36.0404
1816,貓竹,3.958,0.15,7.3006,36.0404
1817,貓兒竹,3.958,0.15,7.3006,36.0404
1818,楠竹,3.958,0.15,7.3006,36.0404
1819,南竹,3.958,0.15,7.3006,36.0404
1820,至竹,3.958,0.15,7.3006,36.0404
1821,斑竹(冬筍),3.958,0.15,7.3006,36.0404
1822,熟桂竹筍,2.1323,0.1974,3.489,17.6087
1823,桂竹仔筍,2.1323,0.1974,3.489,17.6087
1824,石竹仔筍,2.1323,0.1974,3.489,17.6087
1825,簍竹,2.1323,0.1974,3.489,17.6087
1826,筀竹筍,2.1323,0.1974,3.489,17.6087
1827,桂竹筍片,1.011,0.218,3.2687,12.5924
1828,烏殼綠竹筍,1.8233,0.2228,3.7907,18.1477
1829,烏殼筍,1.8233,0.2228,3.7907,18.1477
1830,烏殼綠,1.8233,0.2228,3.7907,18.1477
1831,烏綠竹,1.8233,0.2228,3.7907,18.1477
1832,烏腳綠竹筍,1.8233,0.2228,3.7907,18.1477
1833,烏腳綠仔,1.8233,0.2228,3.7907,18.1477
1834,四季竹,1.8233,0.2228,3.7907,18.1477
1835,南洋竹,1.8233,0.2228,3.7907,18.1477
1836,食用刺竹,1.8233,0.2228,3.7907,18.1477
1837,茭白筍,1.332,0.1565,4.0152,16.4426
1838,茭白,1.332,0.1565,4.0152,16.4426
1839,茭筍,1.332,0.1565,4.0152,16.4426
1840,茭草,1.332,0.1565,4.0152,16.4426
1841,水筍,1.332,0.1565,4.0152,16.4426
1842,腳白筍,1.332,0.1565,4.0152,16.4426
1843,加白筍,1.332,0.1565,4.0152,16.4426
1844,菰,1.332,0.1565,4.0152,16.4426
1845,菰菜,1.332,0.1565,4.0152,16.4426
1846,菰筍,1.332,0.1565,4.0152,16.4426
1847,菰蔣,1.332,0.1565,4.0152,16.4426
1848,麻竹筍,2.1193,0.133,3.6775,17.1915
1849,蔴竹,2.1193,0.133,3.6775,17.1915
1850,甜竹,2.1193,0.133,3.6775,17.1915
1851,巨竹,2.1193,0.133,3.6775,17.1915
1852,坭竹,2.1193,0.133,3.6775,17.1915
1853,大綠竹,2.1193,0.133,3.6775,17.1915
1854,瓦坭竹,2.1193,0.133,3.6775,17.1915
